Area,Cow_Breed,No_of_Calves,Litres_of_water_Taken_by_the_cow_in_a_day,Feeding_Practices,Average_Temperature_of_the_Area,Yearly_Production
Rachuonyo North,Holstein-Friesian,6,55,Mixed,24,3946
Rachuonyo East,Ayrshire,5,56,Mixed,19,5692
Rachuonyo North,Guernsey,4,112,Grazing,24,10790
Suba South,Brown Swiss,3,116,Zero-grazing,28,9962
Rachuonyo South,Brown Swiss,6,58,Mixed,25,3824
Suba North,Holstein-Friesian,5,55,Mixed,24,7750
Suba South,Brown Swiss,6,69,Zero-grazing,17,2824
Ndhiwa,Ayrshire,3,114,Zero-grazing,28,9953
Homa Bay Town,Guernsey,2,100,Zero-grazing,15,8503
Suba North,Brown Swiss,6,68,Zero-grazing,25,3615
Ndhiwa,Ayrshire,3,115,Zero-grazing,29,11895
Homa Bay Town,Ayrshire,1,66,Grazing,15,7298
Homa Bay Town,Guernsey,6,54,Grazing,15,2270
Homa Bay Town,Holstein-Friesian,6,66,Zero-grazing,25,2631
Rachuonyo South,Ayrshire,3,90,Grazing,22,9298
Rachuonyo East,Jersey,5,58,Zero-grazing,18,7359
Rachuonyo South,Ayrshire,7,76,Mixed,30,5098
Rachuonyo East,Ayrshire,7,58,Grazing,27,5705
Rachuonyo North,Brown Swiss,4,89,Grazing,29,11554
Rachuonyo South,Guernsey,2,96,Grazing,30,11236
Suba North,Brown Swiss,1,77,Zero-grazing,22,5893
Rachuonyo East,Jersey,7,80,Zero-grazing,21,5306
Homa Bay Town,Ayrshire,3,100,Grazing,22,9233
Suba North,Jersey,5,54,Zero-grazing,30,7594
Rachuonyo North,Ayrshire,6,58,Mixed,18,3148
Rachuonyo East,Jersey,5,65,Zero-grazing,16,7815
Suba South,Guernsey,4,98,Grazing,18,8503
Ndhiwa,Brown Swiss,5,77,Mixed,22,5438
Suba South,Brown Swiss,2,83,Zero-grazing,15,11948
Homa Bay Town,Holstein-Friesian,6,60,Grazing,24,3775
Homa Bay Town,Brown Swiss,4,95,Zero-grazing,26,11858
Suba South,Holstein-Friesian,3,119,Mixed,15,10376
Rachuonyo East,Ayrshire,5,53,Mixed,21,7022
Ndhiwa,Holstein-Friesian,1,56,Grazing,19,5285
Homa Bay Town,Jersey,7,77,Grazing,18,5090
Ndhiwa,Jersey,3,105,Grazing,20,9701
Homa Bay Town,Brown Swiss,3,113,Grazing,30,9955
Homa Bay Town,Holstein-Friesian,2,98,Grazing,22,11585
Rachuonyo North,Holstein-Friesian,5,79,Zero-grazing,15,7626
Ndhiwa,Brown Swiss,1,61,Grazing,16,6011
Rachuonyo North,Brown Swiss,3,100,Zero-grazing,24,9901
Suba North,Guernsey,5,50,Mixed,29,7551
Suba North,Holstein-Friesian,7,79,Zero-grazing,19,6355
Rachuonyo North,Holstein-Friesian,3,84,Zero-grazing,16,10841
Rachuonyo East,Jersey,1,57,Zero-grazing,20,5060
Rachuonyo South,Guernsey,7,78,Mixed,19,7047
Homa Bay Town,Guernsey,5,56,Mixed,18,5678
Rachuonyo East,Guernsey,6,55,Mixed,15,3090
Homa Bay Town,Brown Swiss,6,50,Zero-grazing,16,3092
Homa Bay Town,Ayrshire,5,78,Mixed,22,7907
Rachuonyo North,Ayrshire,7,69,Mixed,15,7361
Suba North,Guernsey,7,68,Mixed,22,5030
Ndhiwa,Jersey,5,54,Zero-grazing,24,8036
Suba South,Holstein-Friesian,7,52,Zero-grazing,25,6186
Suba North,Ayrshire,7,73,Zero-grazing,23,5867
Suba North,Jersey,4,80,Grazing,30,8744
Rachuonyo North,Ayrshire,6,54,Zero-grazing,19,2564
Rachuonyo South,Jersey,4,97,Zero-grazing,15,10835
Rachuonyo East,Brown Swiss,6,57,Grazing,17,2162
Suba North,Holstein-Friesian,3,82,Zero-grazing,22,9151
Suba South,Brown Swiss,5,57,Zero-grazing,23,7903
Rachuonyo South,Ayrshire,5,51,Grazing,25,5638
Rachuonyo East,Guernsey,5,78,Grazing,25,7197
Rachuonyo East,Brown Swiss,1,73,Mixed,24,6004
Ndhiwa,Brown Swiss,4,118,Zero-grazing,22,8974
Suba South,Jersey,4,100,Grazing,20,8938
Suba North,Ayrshire,5,74,Grazing,19,7933
Ndhiwa,Guernsey,6,60,Mixed,20,3199
Rachuonyo East,Ayrshire,2,113,Grazing,17,9168
Rachuonyo South,Brown Swiss,2,106,Zero-grazing,20,8994
Rachuonyo East,Brown Swiss,3,91,Mixed,30,9328
Suba North,Jersey,4,84,Grazing,25,8643
Rachuonyo South,Holstein-Friesian,2,116,Grazing,27,11230
Rachuonyo North,Holstein-Friesian,6,69,Mixed,29,3995
Ndhiwa,Guernsey,4,82,Grazing,24,9980
Rachuonyo South,Guernsey,7,70,Zero-grazing,17,5119
Rachuonyo South,Jersey,5,79,Zero-grazing,23,8058
Rachuonyo North,Guernsey,5,63,Zero-grazing,15,7543
Homa Bay Town,Guernsey,4,120,Zero-grazing,18,10400
Rachuonyo South,Jersey,2,93,Grazing,19,9612
Ndhiwa,Ayrshire,7,67,Zero-grazing,22,6473
Ndhiwa,Ayrshire,5,59,Zero-grazing,29,5365
Ndhiwa,Ayrshire,5,56,Grazing,21,7493
Rachuonyo East,Holstein-Friesian,5,78,Mixed,27,7280
Homa Bay Town,Holstein-Friesian,5,71,Zero-grazing,29,5628
Suba North,Guernsey,3,99,Mixed,16,11558
Rachuonyo South,Jersey,7,52,Mixed,22,6710
Rachuonyo South,Brown Swiss,3,82,Zero-grazing,25,10735
Homa Bay Town,Ayrshire,1,51,Zero-grazing,22,6656
Rachuonyo East,Jersey,4,105,Zero-grazing,29,11156
Homa Bay Town,Ayrshire,1,59,Zero-grazing,15,8300
Ndhiwa,Ayrshire,7,79,Grazing,27,6368
Rachuonyo South,Holstein-Friesian,3,109,Zero-grazing,23,10692
Rachuonyo North,Holstein-Friesian,2,117,Grazing,29,9443
Homa Bay Town,Brown Swiss,5,66,Grazing,21,7194
Rachuonyo East,Ayrshire,5,68,Mixed,21,7785
Ndhiwa,Holstein-Friesian,2,98,Zero-grazing,15,9183
Homa Bay Town,Jersey,7,52,Zero-grazing,16,7327
Ndhiwa,Brown Swiss,5,65,Zero-grazing,23,7848
Suba South,Jersey,1,75,Grazing,18,5225
Rachuonyo South,Holstein-Friesian,4,120,Mixed,24,10988
Homa Bay Town,Jersey,7,63,Mixed,30,5023
Suba South,Ayrshire,7,66,Mixed,29,7291
Rachuonyo East,Guernsey,5,64,Grazing,22,5471
Rachuonyo East,Holstein-Friesian,7,64,Grazing,16,6312
Rachuonyo East,Jersey,6,60,Zero-grazing,15,3180
Ndhiwa,Ayrshire,6,68,Grazing,28,3842
Suba North,Brown Swiss,1,65,Mixed,30,6487
Suba North,Guernsey,4,116,Zero-grazing,28,8950
Suba South,Brown Swiss,6,50,Grazing,25,2732
Rachuonyo North,Holstein-Friesian,3,118,Grazing,26,8632
Rachuonyo South,Jersey,7,70,Mixed,28,8329
Rachuonyo East,Brown Swiss,4,83,Mixed,27,10787
Ndhiwa,Ayrshire,5,55,Grazing,21,6667
Rachuonyo South,Holstein-Friesian,3,86,Zero-grazing,19,10144
Rachuonyo North,Guernsey,2,82,Grazing,27,9997
Homa Bay Town,Jersey,6,58,Zero-grazing,29,3404
Rachuonyo South,Guernsey,6,60,Mixed,23,2737
Rachuonyo South,Brown Swiss,3,96,Mixed,24,9070
Suba South,Holstein-Friesian,6,61,Zero-grazing,28,2494
Ndhiwa,Ayrshire,5,61,Grazing,21,7007
Suba South,Holstein-Friesian,1,64,Mixed,23,5072
Ndhiwa,Ayrshire,1,74,Zero-grazing,27,8363
Ndhiwa,Ayrshire,4,91,Mixed,30,11190
Ndhiwa,Jersey,4,95,Zero-grazing,26,10141
Ndhiwa,Holstein-Friesian,1,53,Zero-grazing,24,7954
Rachuonyo East,Jersey,5,52,Zero-grazing,28,5825
Rachuonyo East,Holstein-Friesian,3,103,Mixed,26,9825
Suba North,Brown Swiss,1,50,Mixed,19,8224
Suba South,Ayrshire,3,106,Zero-grazing,16,10273
Rachuonyo East,Jersey,2,106,Grazing,21,10973
Rachuonyo South,Ayrshire,7,51,Zero-grazing,16,5660
Suba North,Ayrshire,1,63,Zero-grazing,16,6288
Rachuonyo East,Jersey,5,55,Grazing,19,8397
Suba North,Jersey,6,60,Grazing,28,2581
Rachuonyo North,Jersey,5,51,Mixed,23,7906
Ndhiwa,Holstein-Friesian,1,72,Grazing,29,5082
Rachuonyo East,Guernsey,6,50,Mixed,24,3256
Rachuonyo North,Brown Swiss,2,84,Mixed,17,11324
Rachuonyo East,Jersey,6,69,Grazing,20,3207
Suba South,Ayrshire,2,102,Grazing,24,9755
Ndhiwa,Guernsey,1,62,Zero-grazing,20,7738
Homa Bay Town,Jersey,3,102,Zero-grazing,21,9579
Suba North,Brown Swiss,3,105,Grazing,18,9413
Homa Bay Town,Ayrshire,1,79,Grazing,16,7095
Ndhiwa,Holstein-Friesian,3,120,Grazing,27,8602
Homa Bay Town,Jersey,6,55,Zero-grazing,25,2945
Ndhiwa,Holstein-Friesian,5,53,Mixed,21,6922
Ndhiwa,Jersey,1,60,Mixed,30,6863
Ndhiwa,Brown Swiss,3,117,Grazing,24,9195
Rachuonyo North,Brown Swiss,3,83,Grazing,20,11842
Suba South,Brown Swiss,5,50,Zero-grazing,30,8458
Ndhiwa,Guernsey,2,104,Zero-grazing,16,10612
Suba South,Brown Swiss,6,59,Zero-grazing,27,2465
Ndhiwa,Holstein-Friesian,5,54,Grazing,25,8136
Rachuonyo North,Jersey,4,91,Mixed,21,11969
Suba South,Holstein-Friesian,1,73,Grazing,19,8251
Rachuonyo East,Holstein-Friesian,4,86,Zero-grazing,29,8749
Rachuonyo South,Brown Swiss,3,81,Zero-grazing,29,10222
Homa Bay Town,Guernsey,4,100,Mixed,16,9591
Suba South,Guernsey,1,74,Grazing,17,6535
Homa Bay Town,Holstein-Friesian,2,113,Mixed,16,9764
Homa Bay Town,Ayrshire,1,77,Zero-grazing,16,7992
Ndhiwa,Jersey,7,68,Mixed,15,7157
Suba North,Guernsey,3,112,Grazing,15,8745
Rachuonyo South,Holstein-Friesian,5,63,Mixed,21,5791
Rachuonyo East,Ayrshire,1,70,Grazing,27,5255
Rachuonyo East,Holstein-Friesian,5,72,Grazing,25,6492
Homa Bay Town,Jersey,4,97,Mixed,26,9294
Rachuonyo East,Guernsey,4,102,Mixed,25,9717
Rachuonyo South,Ayrshire,2,96,Zero-grazing,16,10150
Homa Bay Town,Brown Swiss,2,93,Grazing,26,9109
Rachuonyo East,Guernsey,2,103,Mixed,20,8923
Suba South,Brown Swiss,4,111,Mixed,29,9199
Homa Bay Town,Brown Swiss,7,55,Mixed,18,6838
Ndhiwa,Guernsey,7,77,Grazing,20,5891
Suba North,Holstein-Friesian,3,117,Grazing,18,10068
Rachuonyo North,Jersey,7,80,Grazing,17,6269
Suba South,Jersey,3,119,Zero-grazing,27,11590
Rachuonyo East,Brown Swiss,6,55,Zero-grazing,16,2834
Homa Bay Town,Ayrshire,2,105,Mixed,29,9295
Homa Bay Town,Ayrshire,5,77,Grazing,16,6998
Ndhiwa,Jersey,4,101,Zero-grazing,23,10591
Rachuonyo North,Ayrshire,7,62,Mixed,24,8470
Homa Bay Town,Jersey,4,111,Mixed,24,8958
Homa Bay Town,Ayrshire,5,51,Mixed,18,6955
Ndhiwa,Jersey,1,61,Zero-grazing,27,7140
Rachuonyo South,Ayrshire,2,88,Grazing,15,9452
Rachuonyo South,Brown Swiss,7,65,Zero-grazing,25,7733
Rachuonyo East,Jersey,3,82,Zero-grazing,23,8765
Rachuonyo North,Ayrshire,2,117,Zero-grazing,21,10724
Rachuonyo East,Brown Swiss,7,63,Zero-grazing,16,7110
Rachuonyo East,Jersey,2,100,Grazing,23,9963
Rachuonyo East,Holstein-Friesian,3,110,Grazing,28,9150
Homa Bay Town,Holstein-Friesian,6,56,Zero-grazing,19,3851
Suba South,Guernsey,5,70,Grazing,19,7782
Ndhiwa,Guernsey,2,112,Mixed,15,11167
Suba North,Brown Swiss,3,109,Mixed,20,11384
Rachuonyo South,Brown Swiss,4,84,Zero-grazing,20,9024
Rachuonyo South,Guernsey,4,106,Mixed,24,8642
Homa Bay Town,Guernsey,4,113,Zero-grazing,22,10064
Suba North,Jersey,6,53,Mixed,25,3519
Rachuonyo South,Jersey,1,69,Mixed,20,5855
Rachuonyo East,Guernsey,5,59,Mixed,22,8063
Rachuonyo North,Jersey,5,78,Mixed,21,6678
Suba South,Holstein-Friesian,7,56,Mixed,16,8409
Homa Bay Town,Guernsey,2,96,Mixed,22,9981
Ndhiwa,Brown Swiss,6,64,Mixed,16,2622
Rachuonyo North,Guernsey,7,61,Grazing,30,5740
Suba South,Ayrshire,5,79,Grazing,22,6762
Rachuonyo North,Ayrshire,7,53,Grazing,16,5368
Suba North,Guernsey,6,70,Zero-grazing,28,3384
Homa Bay Town,Guernsey,7,66,Grazing,28,5094
Suba North,Ayrshire,5,50,Zero-grazing,28,6733
Suba South,Brown Swiss,6,67,Mixed,22,2202
Homa Bay Town,Ayrshire,7,64,Grazing,15,5008
Suba South,Holstein-Friesian,1,51,Mixed,22,5634
Suba North,Ayrshire,2,104,Grazing,27,9531
Rachuonyo East,Jersey,7,52,Zero-grazing,29,5557
Rachuonyo North,Holstein-Friesian,5,58,Zero-grazing,24,6009
Suba South,Brown Swiss,1,65,Mixed,27,8345
Suba North,Jersey,2,83,Zero-grazing,29,10938
Rachuonyo East,Jersey,6,52,Grazing,15,3352
Rachuonyo East,Jersey,4,89,Zero-grazing,18,11951
Suba South,Brown Swiss,4,107,Zero-grazing,22,8818
Rachuonyo North,Holstein-Friesian,7,55,Zero-grazing,20,8356
Rachuonyo North,Guernsey,7,76,Mixed,27,5428
Rachuonyo East,Ayrshire,7,55,Grazing,18,6627
Rachuonyo East,Ayrshire,5,56,Mixed,22,7596
Rachuonyo South,Ayrshire,4,100,Grazing,28,11631
Homa Bay Town,Brown Swiss,6,65,Grazing,20,2165
Suba North,Guernsey,2,103,Zero-grazing,16,11198
Homa Bay Town,Holstein-Friesian,7,57,Zero-grazing,22,5395
Suba North,Ayrshire,2,96,Grazing,19,8636
Ndhiwa,Guernsey,6,67,Mixed,29,2201
Rachuonyo South,Guernsey,2,119,Mixed,16,11533
Homa Bay Town,Jersey,4,94,Mixed,19,10657
Rachuonyo South,Guernsey,2,86,Grazing,25,9029
Suba South,Holstein-Friesian,5,79,Mixed,19,7913
Rachuonyo East,Brown Swiss,2,113,Zero-grazing,29,10494
Rachuonyo North,Brown Swiss,7,72,Zero-grazing,23,7683
Suba North,Brown Swiss,1,52,Grazing,20,6961
Suba North,Jersey,3,98,Zero-grazing,24,11698
Homa Bay Town,Ayrshire,2,103,Grazing,27,8663
Rachuonyo North,Guernsey,3,109,Mixed,22,11155
Ndhiwa,Ayrshire,7,58,Grazing,28,7462
Rachuonyo East,Ayrshire,2,86,Grazing,30,8981
Suba South,Guernsey,7,70,Mixed,25,8462
Homa Bay Town,Holstein-Friesian,3,96,Zero-grazing,30,9465
Rachuonyo South,Ayrshire,5,74,Grazing,21,5234
Homa Bay Town,Brown Swiss,1,62,Mixed,20,5103
Rachuonyo East,Jersey,7,58,Mixed,21,6929
Suba North,Jersey,5,67,Grazing,26,7413
Rachuonyo North,Jersey,1,56,Mixed,23,6382
Suba South,Guernsey,7,61,Grazing,20,6781
Suba North,Holstein-Friesian,7,69,Zero-grazing,30,8195
Ndhiwa,Guernsey,6,62,Grazing,27,3514
Suba North,Guernsey,4,90,Grazing,20,9258
Ndhiwa,Holstein-Friesian,3,115,Grazing,21,10753
Ndhiwa,Ayrshire,4,119,Zero-grazing,30,10627
Ndhiwa,Jersey,5,66,Mixed,25,7317
Suba North,Jersey,3,104,Grazing,26,10444
Suba South,Brown Swiss,1,69,Zero-grazing,29,5228
Homa Bay Town,Holstein-Friesian,6,64,Mixed,22,2176
Suba North,Guernsey,5,66,Mixed,28,6005
Homa Bay Town,Ayrshire,5,76,Grazing,20,5416
Homa Bay Town,Brown Swiss,1,60,Mixed,18,8467
Ndhiwa,Guernsey,3,82,Mixed,30,10524
Rachuonyo South,Ayrshire,2,88,Zero-grazing,17,8896
Suba South,Holstein-Friesian,2,85,Mixed,20,9620
Ndhiwa,Ayrshire,5,61,Zero-grazing,22,5010
Rachuonyo North,Holstein-Friesian,3,96,Mixed,25,9937
Homa Bay Town,Holstein-Friesian,6,70,Grazing,17,2031
Ndhiwa,Guernsey,5,68,Mixed,16,7738
Homa Bay Town,Holstein-Friesian,2,83,Grazing,25,9979
Ndhiwa,Jersey,3,120,Zero-grazing,23,8728
Homa Bay Town,Jersey,7,55,Zero-grazing,28,5298
Homa Bay Town,Holstein-Friesian,1,64,Zero-grazing,15,7074
Suba North,Holstein-Friesian,6,69,Mixed,17,2360
Homa Bay Town,Guernsey,7,51,Mixed,29,6695
Ndhiwa,Ayrshire,1,58,Mixed,26,6926
Homa Bay Town,Brown Swiss,7,59,Zero-grazing,15,6458
Suba South,Holstein-Friesian,6,52,Grazing,17,2693
Rachuonyo North,Holstein-Friesian,7,72,Zero-grazing,30,6598
Ndhiwa,Holstein-Friesian,5,78,Mixed,24,6095
Rachuonyo East,Guernsey,3,90,Grazing,15,9359
Homa Bay Town,Guernsey,5,79,Grazing,23,7618
Homa Bay Town,Ayrshire,4,102,Zero-grazing,26,11451
Rachuonyo North,Ayrshire,6,62,Mixed,30,2814
Rachuonyo East,Ayrshire,2,104,Mixed,18,9229
Rachuonyo North,Ayrshire,2,103,Zero-grazing,22,9504
Suba North,Jersey,3,98,Mixed,16,9395
Suba North,Ayrshire,5,73,Zero-grazing,24,5276
Homa Bay Town,Holstein-Friesian,4,95,Grazing,24,9334
Rachuonyo South,Jersey,6,50,Mixed,17,2682
Rachuonyo East,Ayrshire,6,56,Zero-grazing,21,2096
Suba South,Jersey,3,111,Zero-grazing,23,9965
Homa Bay Town,Brown Swiss,6,66,Grazing,27,2712
Rachuonyo South,Brown Swiss,5,72,Grazing,19,7550
Rachuonyo South,Brown Swiss,7,51,Mixed,21,7815
Suba South,Holstein-Friesian,2,120,Mixed,28,8904
Homa Bay Town,Ayrshire,4,83,Grazing,23,9861
Rachuonyo East,Brown Swiss,5,52,Zero-grazing,16,6406
Rachuonyo East,Holstein-Friesian,4,120,Zero-grazing,24,10462
Homa Bay Town,Brown Swiss,4,87,Mixed,15,8833
Suba North,Holstein-Friesian,3,88,Grazing,18,8671
Rachuonyo North,Ayrshire,4,83,Zero-grazing,19,11139
Suba South,Holstein-Friesian,2,109,Grazing,30,10289
Homa Bay Town,Guernsey,1,63,Mixed,22,5911
Suba North,Holstein-Friesian,1,54,Zero-grazing,30,8034
Ndhiwa,Jersey,5,51,Grazing,25,5546
Rachuonyo South,Jersey,3,89,Zero-grazing,16,9326
Ndhiwa,Ayrshire,6,56,Mixed,18,2397
Rachuonyo North,Jersey,7,77,Mixed,27,5088
Suba South,Guernsey,6,52,Grazing,30,2478
Rachuonyo North,Ayrshire,2,113,Mixed,16,8775
Suba North,Guernsey,5,63,Mixed,20,7308
Homa Bay Town,Guernsey,1,57,Mixed,24,6279
Rachuonyo South,Jersey,6,68,Zero-grazing,28,3780
Ndhiwa,Holstein-Friesian,1,64,Grazing,22,5226
Suba North,Brown Swiss,4,115,Grazing,16,11038
Rachuonyo East,Guernsey,5,61,Mixed,20,7362
Suba North,Ayrshire,2,114,Grazing,23,10991
Suba South,Brown Swiss,7,59,Grazing,26,7539
Suba North,Holstein-Friesian,3,82,Mixed,22,9359
Suba North,Jersey,2,110,Zero-grazing,16,10542
Homa Bay Town,Holstein-Friesian,4,109,Mixed,29,11269
Suba South,Ayrshire,3,110,Grazing,23,9123
Suba North,Brown Swiss,4,94,Zero-grazing,25,10542
Rachuonyo North,Jersey,5,68,Mixed,22,5975
Rachuonyo North,Holstein-Friesian,5,65,Zero-grazing,18,6829
Ndhiwa,Jersey,1,78,Grazing,23,6673
Suba South,Ayrshire,4,99,Zero-grazing,29,10708
Ndhiwa,Holstein-Friesian,4,86,Zero-grazing,15,9649
Rachuonyo East,Jersey,3,111,Zero-grazing,22,11106
Homa Bay Town,Guernsey,2,84,Grazing,26,8795
Homa Bay Town,Holstein-Friesian,4,120,Zero-grazing,17,8775
Suba South,Guernsey,2,99,Grazing,22,10671
Rachuonyo South,Brown Swiss,3,110,Zero-grazing,29,11936
Rachuonyo East,Jersey,2,120,Zero-grazing,24,8839
Suba North,Guernsey,5,67,Grazing,27,6374
Rachuonyo East,Jersey,1,57,Grazing,16,5371
Homa Bay Town,Brown Swiss,4,87,Grazing,17,8952
Rachuonyo South,Brown Swiss,7,59,Grazing,15,8485
Suba South,Brown Swiss,7,80,Zero-grazing,22,7933
Rachuonyo South,Holstein-Friesian,1,53,Mixed,15,6678
Suba South,Guernsey,1,66,Zero-grazing,25,6880
Rachuonyo North,Brown Swiss,5,60,Zero-grazing,29,5025
Rachuonyo North,Guernsey,5,75,Grazing,20,7078
Suba South,Jersey,3,82,Zero-grazing,25,11052
Rachuonyo East,Brown Swiss,5,53,Mixed,29,6302
Ndhiwa,Jersey,6,64,Zero-grazing,30,3053
Suba North,Holstein-Friesian,2,95,Mixed,24,11822
Rachuonyo South,Holstein-Friesian,5,61,Mixed,25,5272
Suba North,Guernsey,4,114,Zero-grazing,20,11508
Ndhiwa,Ayrshire,1,70,Grazing,27,6194
Rachuonyo North,Holstein-Friesian,6,61,Mixed,19,3484
Suba South,Jersey,1,64,Zero-grazing,24,5375
Suba North,Ayrshire,7,79,Grazing,25,6883
Rachuonyo East,Brown Swiss,1,77,Grazing,29,8430
Rachuonyo North,Jersey,3,103,Mixed,16,9810
Rachuonyo East,Brown Swiss,6,58,Grazing,29,3406
Homa Bay Town,Brown Swiss,2,116,Mixed,27,9680
Suba South,Ayrshire,6,59,Zero-grazing,15,3259
Ndhiwa,Guernsey,4,114,Mixed,30,8937
Rachuonyo East,Ayrshire,2,117,Zero-grazing,15,11876
Suba South,Guernsey,5,79,Zero-grazing,28,5544
Rachuonyo South,Holstein-Friesian,2,119,Zero-grazing,16,8828
Ndhiwa,Brown Swiss,1,61,Zero-grazing,19,6143
Suba South,Ayrshire,7,51,Zero-grazing,19,5476
Ndhiwa,Guernsey,3,82,Zero-grazing,17,11664
Suba South,Guernsey,2,103,Mixed,28,9811
Rachuonyo North,Jersey,4,110,Mixed,30,8749
Rachuonyo South,Jersey,1,75,Mixed,25,5174
Homa Bay Town,Ayrshire,4,96,Zero-grazing,24,10120
Suba South,Ayrshire,3,86,Grazing,21,10790
Ndhiwa,Brown Swiss,7,70,Mixed,17,5538
Homa Bay Town,Jersey,6,52,Grazing,16,3411
Suba South,Holstein-Friesian,5,51,Zero-grazing,25,7915
Suba North,Brown Swiss,5,67,Grazing,23,5000
Rachuonyo South,Ayrshire,7,77,Grazing,29,6986
Rachuonyo East,Ayrshire,6,52,Zero-grazing,24,2706
Rachuonyo North,Brown Swiss,2,89,Zero-grazing,25,9396
Suba North,Brown Swiss,1,74,Zero-grazing,25,8018
Suba South,Brown Swiss,1,68,Mixed,24,5041
Ndhiwa,Ayrshire,4,101,Zero-grazing,20,11423
Ndhiwa,Brown Swiss,7,73,Mixed,15,5556
Rachuonyo North,Ayrshire,3,101,Mixed,24,11856
Rachuonyo East,Jersey,5,52,Grazing,18,5139
Rachuonyo South,Holstein-Friesian,4,111,Mixed,22,10470
Suba North,Ayrshire,3,116,Mixed,16,9521
Rachuonyo South,Guernsey,6,54,Zero-grazing,19,2474
Suba South,Brown Swiss,5,62,Zero-grazing,15,8380
Homa Bay Town,Holstein-Friesian,1,64,Mixed,29,5360
Rachuonyo North,Guernsey,2,90,Mixed,21,9456
Rachuonyo South,Jersey,3,105,Grazing,16,9054
Homa Bay Town,Jersey,3,115,Grazing,29,9997
Rachuonyo East,Holstein-Friesian,6,58,Mixed,28,2462
Homa Bay Town,Guernsey,3,117,Zero-grazing,22,9063
Rachuonyo East,Jersey,1,66,Zero-grazing,21,7794
Rachuonyo South,Ayrshire,6,68,Zero-grazing,27,3020
Ndhiwa,Ayrshire,6,65,Mixed,27,2895
Rachuonyo East,Jersey,3,92,Mixed,23,11684
Suba South,Holstein-Friesian,1,61,Zero-grazing,23,6838
Homa Bay Town,Holstein-Friesian,1,72,Grazing,16,7122
Rachuonyo North,Guernsey,1,59,Mixed,16,7904
Suba North,Holstein-Friesian,6,57,Grazing,18,2208
Ndhiwa,Holstein-Friesian,4,91,Zero-grazing,30,10614
Homa Bay Town,Ayrshire,6,62,Mixed,21,2962
Suba South,Brown Swiss,6,62,Grazing,30,3452
Rachuonyo East,Jersey,3,89,Mixed,26,11234
Ndhiwa,Jersey,5,60,Grazing,15,6747
Rachuonyo South,Ayrshire,7,57,Mixed,21,7988
Homa Bay Town,Holstein-Friesian,4,88,Grazing,26,10391
Ndhiwa,Jersey,1,60,Mixed,30,7082
Rachuonyo South,Guernsey,7,56,Mixed,25,5805
Suba North,Ayrshire,7,51,Zero-grazing,16,5816
Rachuonyo North,Jersey,1,77,Mixed,23,5515
Homa Bay Town,Ayrshire,1,80,Grazing,17,7884
Suba South,Guernsey,1,75,Grazing,17,6323
Homa Bay Town,Holstein-Friesian,5,74,Zero-grazing,21,6797
Suba North,Holstein-Friesian,2,88,Zero-grazing,26,8596
Rachuonyo East,Ayrshire,4,109,Mixed,16,8576
Rachuonyo North,Holstein-Friesian,5,76,Grazing,23,6138
Suba South,Holstein-Friesian,1,58,Zero-grazing,20,6063
Homa Bay Town,Jersey,2,80,Grazing,18,10712
Rachuonyo East,Jersey,2,119,Zero-grazing,28,11938
Rachuonyo North,Ayrshire,2,103,Grazing,21,9018
Ndhiwa,Jersey,7,63,Mixed,19,5532
Rachuonyo North,Brown Swiss,2,86,Zero-grazing,23,8521
Rachuonyo East,Ayrshire,6,50,Grazing,23,3462
Ndhiwa,Brown Swiss,4,99,Mixed,28,10621
Ndhiwa,Guernsey,7,55,Grazing,26,8310
Rachuonyo North,Brown Swiss,1,56,Mixed,19,6270
Suba South,Brown Swiss,5,60,Mixed,30,5935
Rachuonyo South,Jersey,2,103,Mixed,26,11198
Rachuonyo North,Holstein-Friesian,6,50,Zero-grazing,25,3028
Suba South,Holstein-Friesian,5,69,Grazing,25,6555
Rachuonyo South,Ayrshire,3,108,Grazing,24,11833
Suba South,Holstein-Friesian,2,87,Mixed,17,10445
Suba South,Guernsey,6,54,Zero-grazing,22,2058
Suba North,Brown Swiss,3,110,Mixed,28,8962
Rachuonyo South,Brown Swiss,4,96,Zero-grazing,30,9751
Rachuonyo North,Ayrshire,6,69,Zero-grazing,27,2223
Suba North,Holstein-Friesian,4,92,Mixed,18,9285
Rachuonyo North,Brown Swiss,6,69,Grazing,16,3712
Suba South,Ayrshire,4,109,Grazing,17,11102
Homa Bay Town,Holstein-Friesian,3,118,Zero-grazing,15,8966
Rachuonyo South,Ayrshire,4,111,Mixed,26,11098
Rachuonyo East,Brown Swiss,6,53,Zero-grazing,29,2530
Rachuonyo South,Guernsey,4,96,Grazing,27,11228
Ndhiwa,Holstein-Friesian,4,118,Mixed,19,9734
Suba North,Ayrshire,1,64,Grazing,19,6665
Ndhiwa,Brown Swiss,7,65,Grazing,26,7612
Ndhiwa,Jersey,1,61,Grazing,18,5796
Suba North,Guernsey,5,60,Grazing,18,5079
Ndhiwa,Guernsey,6,66,Zero-grazing,20,2285
Suba North,Ayrshire,1,75,Grazing,30,6189
Homa Bay Town,Jersey,2,91,Zero-grazing,17,11432
Ndhiwa,Guernsey,5,61,Grazing,21,5576
Rachuonyo East,Brown Swiss,6,51,Zero-grazing,20,2928
Homa Bay Town,Holstein-Friesian,2,110,Zero-grazing,25,11384
Rachuonyo North,Jersey,6,67,Grazing,21,2675
